offset,latA,latB,label
0x9600,-nan,0.0,1
0x9680,-nan,0.0,1
0x9700,-nan,0.0,1
0x9780,-nan,0.0,1
0x9800,-nan,0.0,1
0x9880,-nan,0.0,1
0x9900,-nan,0.0,1
0x9980,-nan,0.0,1
0x9a00,-nan,0.0,1
0x9a80,-nan,0.0,1
0x9b00,-nan,0.0,1
0x9b80,-nan,0.0,1
0x9c00,-nan,0.0,1
0x9c80,-nan,0.0,1
0x9d00,-nan,0.0,1
0x9d80,-nan,0.0,1
0x9e00,-nan,0.0,1
0x9e80,-nan,0.0,1
0x9f00,-nan,0.0,1
0x9f80,-nan,0.0,1
0xa000,-nan,0.0,1
0xa080,-nan,0.0,1
0xa100,-nan,0.0,1
0xa180,-nan,0.0,1
0xa200,-nan,0.0,1
0xa280,-nan,0.0,1
0xa300,-nan,0.0,1
0xa380,-nan,0.0,1
0xa400,-nan,0.0,1
0xa480,-nan,0.0,1
0xa500,-nan,0.0,1
0xa580,-nan,0.0,1
0xa600,-nan,0.0,1
0xa680,-nan,0.0,1
0xa700,-nan,0.0,1
0xa780,-nan,0.0,1
0xa800,-nan,0.0,1
0xa880,-nan,0.0,1
0xa900,-nan,0.0,1
0xa980,-nan,0.0,1
0xaa00,-nan,0.0,1
0xaa80,-nan,0.0,1
0xab00,-nan,0.0,1
0xab80,-nan,0.0,1
0xac00,-nan,0.0,1
0xac80,-nan,0.0,1
0xad00,-nan,0.0,1
0xad80,-nan,0.0,1
0xae00,-nan,0.0,1
0xae80,-nan,0.0,1
0xaf00,-nan,0.0,1
0xaf80,-nan,0.0,1
0xb000,-nan,0.0,1
0xb080,-nan,0.0,1
0xb100,-nan,0.0,1
0xb180,-nan,0.0,1
0xb200,-nan,0.0,1
0xb280,-nan,0.0,1
0xb300,-nan,0.0,1
0xb380,-nan,0.0,1
0xb400,-nan,0.0,1
0xb480,-nan,0.0,1
0xb500,-nan,0.0,1
0xb580,-nan,0.0,1
0xb600,-nan,0.0,1
0xb680,-nan,0.0,1
0xb700,-nan,0.0,1
0xb780,-nan,0.0,1
0xb800,-nan,0.0,1
0xb880,-nan,0.0,1
0xb900,-nan,0.0,1
0xb980,-nan,0.0,1
0xba00,-nan,0.0,1
0xba80,-nan,0.0,1
0xbb00,-nan,0.0,1
